ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,CensusTractNo,County,State,ID Geography,Geoid10
2017,2017,0,Total,67391,8281,"Census Tract 1708, Cook County, IL",1708,Cook County,IL,14000US17031170800,17031170800
2017,2017,0,Total,34643,11755,"Census Tract 8408.01, DuPage County, IL",8408.01,DuPage County,IL,14000US17043840801,17043840801
2017,2017,0,Total,80625,23252,"Census Tract 7005.02, Cook County, IL",7005.02,Cook County,IL,14000US17031700502,17031700502
2017,2017,0,Total,40841,7069,"Census Tract 102.01, Cook County, IL",102.01,Cook County,IL,14000US17031010201,17031010201
2017,2017,0,Total,36563,8731,"Census Tract 102.02, Cook County, IL",102.02,Cook County,IL,14000US17031010202,17031010202
2017,2017,0,Total,66619,9171,"Census Tract 7005.01, Cook County, IL",7005.01,Cook County,IL,14000US17031700501,17031700501
2017,2017,0,Total,36870,3386,"Census Tract 103, Cook County, IL",103,Cook County,IL,14000US17031010300,17031010300
2017,2017,0,Total,75764,15283,"Census Tract 8400, DuPage County, IL",8400,DuPage County,IL,14000US17043840000,17043840000
2017,2017,0,Total,39634,8452,"Census Tract 104, Cook County, IL",104,Cook County,IL,14000US17031010400,17031010400
2017,2017,0,Total,15524,4409,"Census Tract 7101, Cook County, IL",7101,Cook County,IL,14000US17031710100,17031710100
2017,2017,0,Total,31985,10336,"Census Tract 105.01, Cook County, IL",105.01,Cook County,IL,14000US17031010501,17031010501
2017,2017,0,Total,61369,12661,"Census Tract 7004.02, Cook County, IL",7004.02,Cook County,IL,14000US17031700402,17031700402
2017,2017,0,Total,33721,2977,"Census Tract 105.02, Cook County, IL",105.02,Cook County,IL,14000US17031010502,17031010502
2017,2017,0,Total,64776,11287,"Census Tract 7004.01, Cook County, IL",7004.01,Cook County,IL,14000US17031700401,17031700401
2017,2017,0,Total,19671,7134,"Census Tract 105.03, Cook County, IL",105.03,Cook County,IL,14000US17031010503,17031010503
2017,2017,0,Total,32750,9224,"Census Tract 8439, Cook County, IL",8439,Cook County,IL,14000US17031843900,17031843900
2017,2017,0,Total,40576,8381,"Census Tract 106, Cook County, IL",106,Cook County,IL,14000US17031010600,17031010600
2017,2017,0,Total,67776,14326,"Census Tract 7003.02, Cook County, IL",7003.02,Cook County,IL,14000US17031700302,17031700302
2017,2017,0,Total,60798,12257,"Census Tract 107.01, Cook County, IL",107.01,Cook County,IL,14000US17031010701,17031010701
2017,2017,0,Total,39604,3652,"Census Tract 107.02, Cook County, IL",107.02,Cook County,IL,14000US17031010702,17031010702
2017,2017,0,Total,64118,9426,"Census Tract 7003.01, Cook County, IL",7003.01,Cook County,IL,14000US17031700301,17031700301
2017,2017,0,Total,49318,5281,"Census Tract 201, Cook County, IL",201,Cook County,IL,14000US17031020100,17031020100
2017,2017,0,Total,45833,6886,"Census Tract 8438, Cook County, IL",8438,Cook County,IL,14000US17031843800,17031843800
2017,2017,0,Total,87835,24458,"Census Tract 202, Cook County, IL",202,Cook County,IL,14000US17031020200,17031020200
2017,2017,0,Total,26934,3095,"Census Tract 7102, Cook County, IL",7102,Cook County,IL,14000US17031710200,17031710200
2017,2017,0,Total,53254,9927,"Census Tract 203.01, Cook County, IL",203.01,Cook County,IL,14000US17031020301,17031020301
2017,2017,0,Total,56779,16003,"Census Tract 7002, Cook County, IL",7002,Cook County,IL,14000US17031700200,17031700200
2017,2017,0,Total,69861,5601,"Census Tract 203.02, Cook County, IL",203.02,Cook County,IL,14000US17031020302,17031020302
2017,2017,0,Total,61925,12925,"Census Tract 7001, Cook County, IL",7001,Cook County,IL,14000US17031700100,17031700100
2017,2017,0,Total,59705,9082,"Census Tract 204, Cook County, IL",204,Cook County,IL,14000US17031020400,17031020400
2017,2017,0,Total,105408,8876,"Census Tract 8437, Cook County, IL",8437,Cook County,IL,14000US17031843700,17031843700
2017,2017,0,Total,40090,3769,"Census Tract 205, Cook County, IL",205,Cook County,IL,14000US17031020500,17031020500
2017,2017,0,Total,20027,3852,"Census Tract 6915, Cook County, IL",6915,Cook County,IL,14000US17031691500,17031691500
2017,2017,0,Total,39282,7423,"Census Tract 206.01, Cook County, IL",206.01,Cook County,IL,14000US17031020601,17031020601
